  PID TTY           TIME CMD
 5411 ??        87:08.24 /Users/dillonflannery-valadez/Documents/EGW CRE.app/Contents/Resources/Wine.app/Contents/Resources/bin/wine C:\windows\system32\winedevice.exe MountMgr
 5420 ??         0:01.55 /Users/dillonflannery-valadez/Documents/EGW CRE.app/Contents/Resources/Wine.app/Contents/Resources/bin/wine C:\windows\system32\explorer.exe /desktop
 5435 ??         0:05.92 /Applications/Bible Study.app/Contents/MacOS/Bible Study
 5510 ??         0:00.00 /usr/sbin/aslmanager -s /var/log/eventmonitor
 5511 ??         0:00.00 /usr/sbin/aslmanager -s /var/log/performance
 5645 ??         0:25.63 /Applications/Microsoft Office 2011/Microsoft Word.app/Contents/MacOS/Microsoft Word
 5651 ??         0:00.53 /Library/Application Support/Microsoft/MAU2.0/Microsoft AutoUpdate.app/Contents/MacOS/Microsoft AU Daemon.app/Contents/MacOS/Microsoft AU Daemon
 5818 ??         1:06.23 /Applications/Safari.app/Contents/MacOS/Safari
 5824 ??         0:34.84 com.apple.WebKit.Networking
 6002 ??         0:01.40 com.apple.WebKit.WebContent
 6014 ??         1:00.53 com.apple.WebKit.WebContent
 6027 ??         0:00.05 /Users/dillonflannery-valadez/Documents/EGW CRE.app/Contents/Resources/Wine.app/Contents/Resources/bin/wine winedbg --auto 17 208
 6047 ??         0:00.66 com.apple.WebKit.Plugin.64
 6048 ??         0:11.60 /Library/Application Support/Google/GoogleTalkPlugin.app/Contents/MacOS/GoogleTalkPlugin
 6049 ??         0:00.16 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
 6052 ??         0:00.02 com.apple.audio.SandboxHelper
 6053 ??         0:00.05 com.apple.audio.ComponentHelper
 6107 ??         1:41.98 /Applications/Preview.app/Contents/MacOS/Preview
 6111 ??         0:00.02 com.apple.Preview.TrustedBookmarksService
 6113 ??         0:00.39 /System/Library/Image Capture/Support/Image Capture Extension.app/Contents/MacOS/Image Capture Extension
 6136 ??         0:00.02 com.apple.hiservices-xpcservice
 6168 ??         1:40.31 /Applications/texstudio.app/Contents/MacOS/texstudio
 6179 ??         0:00.54 /System/Library/Frameworks/CFNetwork.framework/Versions/A/Support/cookied
 6328 ??         2:20.17 /Applications/PyCharm CE.app/Contents/MacOS/pycharm
 6330 ??         0:03.78 /usr/sbin/ocspd
 6336 ??         0:00.04 /usr/sbin/netbiosd
 6337 ??         0:00.17 com.apple.WebKit.WebContent
 6339 ??         0:00.04 /Applications/PyCharm CE.app/Contents/bin/fsnotifier
 6346 ??         0:27.50 com.apple.WebKit.WebContent
 6347 ??         0:03.63 com.apple.WebKit.Plugin.64
 6427 ??         0:01.41 com.apple.WebKit.WebContent
 6431 ??         0:01.13 com.apple.WebKit.WebContent
 6433 ??         0:05.43 com.apple.WebKit.WebContent
 6430 ttys000    0:00.16 login -pf dillonflannery-valadez
 6432 ttys000    0:00.03 -bash
 6447 ttys000    0:00.00 ps -ax
